若: 傍[若]無人 老[若]男女 ;; 0200
我: 無[我]夢中 唯[我]独尊 ;; 0200
誉: 名[誉]毀損 名[誉]挽回 ;; 0200　名誉○○
門: [門]外不出 [門]戸開放 ;; 2000
唯: [唯]一無二 [唯]我独尊 ;; 2000
優: [優]柔不断 [優]勝劣敗 ;; 2000
柔: 優[柔]不断 [柔]軟体操 ;; 1100
臨: [臨]機応変 [臨]時収入 ;; 2000
苦: 悪戦[苦]闘 四[苦]八[苦] 無茶[苦]茶 ;; 0121
商: 悪徳[商]人 士農工[商] [商]売繁盛 ;; 1011
音: 異口同[音] [音]信不通 不協和[音] ;; 1002
国: 異[国]情緒 [国]士無双 戦[国]時代 ;; 1200
伝: 以心[伝]心 一子相[伝] 免許皆[伝] ;; 0012
期: 一[期]一会 時[期]尚早 賞味[期]限 ;; 0210
目: 一[目]瞭然 眉[目]秀麗 面[目]躍如 ;; 0300
得: 一挙両[得] 自業自[得] [得]意満面 ;; 1002
当: 一騎[当]千 正[当]防衛 [当]代随一 ;; 1110
相: 一子[相]伝 [相]思[相]愛 身分[相]応 ;; 1030
命: 一所懸[命] 絶体絶[命] 美人薄[命] ;; 0003
刀: 一[刀]両断 快[刀]乱麻 単[刀]直入 ;; 0300
有: [有]象無象 [有]名無実 万[有]引力 ;; 2100
海: [海]千山千 山[海]珍味 人[海]戦術 ;; 1200
栄: [栄]枯盛衰 [栄]養補給 共存共[栄] ;; 2001
盛: 栄枯[盛]衰 [盛]者必衰 商売繁[盛] ;; 1011
衰: 栄枯盛[衰] 盛者必[衰] 神経[衰]弱 ;; 0012
才: 英[才]教育 [才]気煥発 [才]色兼備 ;; 2100
新: 温故知[新] [新]進気鋭 [新]陳代謝 ;; 2001
信: 音[信]不通 [信]賞必罰 半[信]半疑 ;; 1200
開: [開]口一番 文明[開]化 門戸[開]放 ;; 1020
火: [火]気厳禁 電光石[火] 風林[火]山 ;; 1011
禁: 火気厳[禁] [禁]断症状 女人[禁]制 ;; 1011
月: 花鳥風[月] 生年[月]日 日進[月]歩 ;; 0021
感: [感]慨無量 [感]謝[感]激 多情多[感] ;; 2011
徹: 頑固一[徹] 初志貫[徹] [徹]頭[徹]尾 ;; 1012
休: 閑話[休]題 年中無[休] 不眠不[休] ;; 0012
機: 危[機]一髪 心[機]一転 臨[機]応変 ;; 0300
奇: [奇]々怪々 [奇]想天外 複雑怪[奇] ;; 2001
怪: 奇々[怪]々 複雑[怪]奇 妖[怪]変化 ;; 0120
存: 危急[存]亡 共[存]共栄 適者生[存] ;; 0111
回: 起死[回]生 失地[回]復 名誉挽[回] ;; 0021
想: 奇[想]天外 誇大妄[想] 中華思[想] ;; 0102
外: 奇想天[外] 内憂[外]患 門[外]不出 ;; 0111
直: 急転[直]下 単刀[直]入 [直]立不動 ;; 1020
下: 急転直[下] 天[下]泰平 三日天[下] ;; 0102
切: [切]捨御免 懇[切]丁寧 [切]磋琢磨 ;; 2100
捨: 切[捨]御免 四[捨]五入 取[捨]選択 ;; 0300
経: [経]常利益 [経]世済民 神[経]衰弱 ;; 2100
常: 経[常]利益 [常]套手段 諸行無[常] ;; 1101
利: 経常[利]益 私[利]私欲 薄[利]多売 ;; 0210
来: 捲土重[来] 千客万[来] 未[来]永劫 ;; 0102
令: 巧言[令]色 社交辞[令] 朝[令]暮改 ;; 0111
士: 国[士]無双 [士]農工商 紳[士]協定 ;; 1200
東: 古今[東]西 [東]奔西走 馬耳[東]風 ;; 1020
誤: [誤]字脱字 試行錯[誤] 時代錯[誤] ;; 1002
端: 木[端]微塵 中途半[端] 容姿[端]麗 ;; 0111
定: 固[定]観念 紳士協[定] 焼肉[定]食 ;; 0111
能: 再起不[能] 全知全[能] 潜在[能]力 ;; 0012
