* 三字熟語Flash 使用漢字別一覧

三字熟語Flash(http://www.gamedesign.jp/flash/sanjuku/sanjuku.html)
全1190語。使用漢字1106字。

----

灯: 蛍光灯 走馬灯
視: 警視庁 視聴率
従: 従業員 従兄弟
示: 掲示板 黙示録
座: 土下座 座椅子
刊: 月刊誌 創刊号
解: 解毒剤 不可解
毒: 解毒剤 食中毒
圏: 首都圏 大気圏
現: 現実的 現地妻
設: 建設的 設計図
雲: 積乱雲 入道雲
微: 顕微鏡 微生物
範: 広範囲 師範代
考: 考古学 参考書
々: 好々爺 赤裸々
辛: 香辛料 唐辛子
豪: 豪速球 大富豪
配: 配偶者 支配者
卒: 卒業生 卒業式
刻: 刻一刻 時刻表
告: 告別式 予告編
個: 個人差 個性的
午: 午前様 子午線
典: 古典的 典型的
礼: 最敬礼 無礼講
終: 最終的 終止符
銭: 賽銭箱 守銭奴
要: 重要性 要注意
眠: 睡眠薬 不眠症
弾: 催涙弾 手榴弾
早: 早乙女 早合点
摩: 薩摩芋 摩天楼
鶴: 鶴亀算 千羽鶴
免: 無免許 免罪符
酸: 酸性雨 乳酸菌
減: 塩加減 手加減
製: 自家製 乳製品
像: 自画像 理想像
持: 持久走 支持者
耳: 地獄耳 耳鼻科
思: 思春期 不思議
説: 私小説 小説家
鎮: 地鎮祭 鎮魂歌
役: 取締役 役不足
由: 自由形 不自由
集: 集客力 集大成
止: 終止符 波止場
準: 準備中 標準語
校: 小学校 予備校
衝: 衝撃波 衝動的
撃: 衝撃波 総攻撃
民: 小市民 植民地
松: 松竹梅 松葉杖
税: 消費税 所得税
処: 処世術 処方箋
楼: 蜃気楼 摩天楼
族: 水族館 暴走族
背: 背格好 背後霊
育: 性教育 体育館
攻: 正攻法 総攻撃
染: 染色体 伝染病
当: 正当化 当事者
例: 正比例 反比例
命: 生命線 致命傷
責: 責任感 無責任
赤: 赤裸々 赤血球
潜: 潜水艦 潜望鏡
号: 創刊号 不等号
双: 双眼鏡 双生児
洋: 太平洋 洋菓子
菓: 駄菓子 洋菓子
旅: 旅芸人 旅客機
達: 血達磨 雪達磨
磨: 血達磨 雪達磨
特: 超特急 特効薬
局: 美人局 郵便局
砲: 鉄砲玉 無鉄砲
展: 展望台 展覧会
同: 同性愛 同窓会
壇: 独壇場 土壇場
軟: 軟着陸 軟弱者
棒: 如意棒 用心棒
抗: 対抗馬 反抗期
必: 必需品 必然的
氷: 氷河期 氷点下
案: 不案内 道案内
完: 不完全 未完成
注: 不注意 要注意
愉: 不愉快 愉快犯
快: 不愉快 愉快犯
冬: 冬化粧 冬将軍
尽: 無尽蔵 理不尽
蔵: 無尽蔵 冷蔵庫
黙: 黙示録 黙秘権
優: 優越感 優等生
両: 両極端 両生類
冷: 冷凍庫 冷蔵庫
老: 老眼鏡 老婆心
写: 青写真 試写会 被写体
将: 青大将 将来性 冬将軍
秋: 秋田犬 秋刀魚 千秋楽
響: 悪影響 影響力 交響曲
坊: 朝寝坊 風来坊 丸坊主
陽: 紫陽花 太陽系 太陽暦
修: 阿修羅 修道院 修羅場
圧: 圧倒的 高気圧 高血圧
邪: 天邪鬼 風邪薬 無邪気
模: 雨模様 空模様 大規模
菌: 病原菌 大腸菌 乳酸菌
件: 大事件 人件費 無条件
元: 異次元 紀元前 低次元
詞: 形容詞 作詞家 代名詞
枚: 一枚岩 二枚舌 二枚目
過: 一過性 過半数 過保護
張: 一張羅 緊張感 張本人
直: 一直線 正直者 直談判
囲: 囲炉裏 広範囲 雰囲気
裏: 囲炉裏 手裏剣 舞台裏
頂: 有頂天 真骨頂 仏頂面
運: 運転手 運動会 試運転
久: 永久歯 恒久的 持久走
歯: 永久歯 歯科医 八重歯
絵: 絵空事 絵葉書 似顔絵
周: 円周率 周期的 周波数
率: 円周率 視聴率 百分率
炎: 炎天下 火炎瓶 口内炎
横: 横隔膜 横一線 横恋慕
室: 応接室 地下室 霊安室
広: 大広間 広範囲 広葉樹
念: 記念日 正念場 朴念仁
官: 外交官 九官鳥 裁判官
浴: 海水浴 森林浴 日光浴
版: 海賊版 改訂版 決定版
開: 開拓者 開放的 非公開
被: 被害者 被疑者 被写体
祭: 学園祭 地鎮祭 前夜祭
質: 角質層 蛋白質 無機質
頭: 頭文字 後頭部 頭蓋骨
河: 河川敷 銀河系 氷河期
活: 活火山 活断層 私生活
腹: 下腹部 腹八分 腹話術
算: 皮算用 鶴亀算 胸算用
換: 換気扇 互換性 性転換
電: 乾電池 発電所 心電図
漢: 漢方薬 無頼漢 門外漢
務: 刑務所 公務員 事務所
管: 管理人 気管支 試験管
魔: 断末魔 破魔矢 魔術師
四: 四角形 四天王 四畳半
予: 予想外 予告編 予備校
貴: 貴金属 貴公子 貴婦人
奇: 奇跡的 好奇心 小奇麗
茶: 喫茶店 昆布茶 茶番劇
符: 疑問符 終止符 免罪符
逆: 逆効果 逆探知 逆輸入
効: 逆効果 効果的 特効薬
義: 義勇軍 正義感 有意義
軍: 義勇軍 強行軍 冬将軍
求: 求心力 求道者 請求書
協: 協奏曲 協調性 協力的
調: 協調性 絶好調 調味料
丁: 口八丁 丁寧語 長丁場
約: 口約束 契約書 公約数
首: 首実検 首都圏 絞首刑
経: 経験者 経済力 無神経
罪: 軽犯罪 罪悪感 免罪符
備: 警備員 準備中 予備校
話: 下世話 受話器 腹話術
型: 血液型 典型的 流線型
候: 悪天候 症候群 立候補
受: 受験生 受精卵 受話器
源: 源氏名 震源地 桃源郷
健: 健常者 不健全 不健康
常: 健常者 常識的 常習犯
乱: 積乱雲 半狂乱 乱気流
全: 不健全 全盛期 不完全
筆: 色鉛筆 筆無精 万年筆
制: 合議制 反体制 無制限
工: 工作員 小細工 不細工
少: 少人数 青少年 美少年
低: 最低限 重低音 低次元
女: 早乙女 女王蜂 婦女子
殺: 殺虫剤 殺風景 自殺点
猿: 猿芝居 猿真似 類人猿
参: 参議院 参考書 新参者
刀: 秋刀魚 助太刀 二刀流
表: 時刻表 表面化 無表情
私: 私小説 私書箱 私生活
指: 指定席 指導者 指人形
白: 白装束 蛋白質 白昼夢
状: 招待状 年賀状 遺言状
助: 助教授 助産婦 助太刀
得: 所得税 得意先 不得手
任: 初任給 責任感 無責任
選: 選手権 選択肢 総選挙
羽: 千羽鶴 手羽先 羽子板
門: 専門家 登竜門 門外漢
創: 創刊号 創始者 独創的
収: 贈収賄 副収入 領収書
然: 大自然 必然的 不自然
玉: 玉手箱 玉虫色 鉄砲玉
単: 単行本 単細胞 十二単
致: 致死量 致命傷 不一致
超: 超音波 超能力 超特急
条: 鉄条網 不条理 無条件
添: 添加物 添乗員 無添加
独: 独裁者 独壇場 独創的
射: 日射病 熱射病 放射能
良: 野良猫 野良犬 良心的
排: 排気量 排泄物 排他的
霊: 背後霊 霊安室 霊長類
万: 万国旗 万年床 万年筆
偏: 偏差値 偏西風 偏平足
暴: 暴走族 暴風雨 暴力団
遊: 夢遊病 遊園地 遊覧船
影: 悪影響 影法師 影武者 影響力
明: 明後日 不透明 明細書 明太子
寝: 朝寝坊 雑魚寝 寝心地 寝不足
花: 紫陽花 花粉症 花言葉 落花生
羅: 阿修羅 一張羅 修羅場 天婦羅
千: 値千金 千秋楽 千羽鶴 千代紙
弟: 兄弟分 内弟子 従兄弟 愛弟子
雨: 雨模様 五月雨 酸性雨 暴風雨
様: 雨模様 午前様 仕様書 空模様
治: 荒療治 自治体 主治医 政治家
安: 安息日 安楽死 不安定 霊安室
死: 安楽死 致死量 不死鳥 不死身
異: 異教徒 異次元 異分子 異邦人
酒: 居酒屋 果実酒 日本酒 葡萄酒
屋: 居酒屋 八百屋 屋形船 屋台骨
裁: 裁判所 最高裁 裁判官 独裁者
輪: 一輪車 金輪際 三輪車 大車輪
医: 医薬品 歯科医 主治医 藪医者
粧: 薄化粧 化粧品 冬化粧 雪化粧
有: 有頂天 所有権 未曾有 有意義
相: 腕相撲 大相撲 相対的 不相応
乳: 乳母車 乳酸菌 乳製品 哺乳類
転: 運転手 試運転 自転車 性転換
空: 絵空事 空手形 航空機 空模様
比: 恵比寿 正比例 反比例 比較的
円: 円周率 円舞曲 大団円 楕円形
際: 往生際 金輪際 瀬戸際 不手際
具: 大道具 具体的 不具合 文房具
武: 落武者 影武者 武芸者 武勇伝
洗: 御手洗 洗濯機 洗面器 洗面所
覧: 観覧車 回覧板 展覧会 遊覧船
社: 会社員 子会社 社会面 社交界
送: 回送車 再放送 葬送曲 生放送
路: 街路樹 滑走路 三叉路 袋小路
樹: 街路樹 果樹園 月桂樹 広葉樹
芸: 学芸会 芸術家 旅芸人 武芸者
信: 確信犯 興信所 信憑性 通信簿
