話: 下世[話] 受[話]器 腹[話]術 ;; 021
型: 血液[型] 典[型]的 流線[型] ;; 012
候: 悪天[候] 症[候]群 立[候]補 ;; 021
受: [受]験生 [受]精卵 [受]話器 ;; 300
源: [源]氏名 震[源]地 桃[源]郷 ;; 120
健: [健]常者 不[健]全 不[健]康 ;; 120
常: 健[常]者 [常]識的 [常]習犯 ;; 210
乱: 積[乱]雲 半狂[乱] [乱]気流 ;; 111
全: 不健[全] [全]盛期 不完[全] ;; 102
筆: 色鉛[筆] [筆]無精 万年[筆] ;; 102
制: 合議[制] 反体[制] 無[制]限 ;; 012
工: [工]作員 小細[工] 不細[工] ;; 102
少: [少]人数 青[少]年 美[少]年 ;; 120
低: 最[低]限 重[低]音 [低]次元 ;; 120
女: 早乙[女] [女]王蜂 婦[女]子 ;; 111
殺: [殺]虫剤 [殺]風景 自[殺]点 ;; 210
猿: [猿]芝居 [猿]真似 類人[猿] ;; 201
参: [参]議院 [参]考書 新[参]者 ;; 210
刀: 秋[刀]魚 助太[刀] 二[刀]流 ;; 021
表: 時刻[表] [表]面化 無[表]情 ;; 111
私: [私]小説 [私]書箱 [私]生活 ;; 300
指: [指]定席 [指]導者 [指]人形 ;; 300
白: [白]装束 蛋[白]質 [白]昼夢 ;; 210
状: 招待[状] 年賀[状] 遺言[状] ;; 003
助: [助]教授 [助]産婦 [助]太刀 ;; 300
得: 所[得]税 [得]意先 不[得]手 ;; 120
任: 初[任]給 責[任]感 無責[任] ;; 021
選: [選]手権 [選]択肢 総[選]挙 ;; 210
羽: 千[羽]鶴 手[羽]先 [羽]子板 ;; 120
門: 専[門]家 登竜[門] [門]外漢 ;; 111
創: [創]刊号 [創]始者 独[創]的 ;; 210
収: 贈[収]賄 副[収]入 領[収]書 ;; 030
然: 大自[然] 必[然]的 不自[然] ;; 012
玉: [玉]手箱 [玉]虫色 鉄砲[玉] ;; 201
単: [単]行本 [単]細胞 十二[単] ;; 201
致: [致]死量 [致]命傷 不一[致] ;; 201
超: [超]音波 [超]能力 [超]特急 ;; 300
条: 鉄[条]網 不[条]理 無[条]件 ;; 030
添: [添]加物 [添]乗員 無[添]加 ;; 210
独: [独]裁者 [独]壇場 [独]創的 ;; 300
射: 日[射]病 熱[射]病 放[射]能 ;; 030
良: 野[良]猫 野[良]犬 [良]心的 ;; 120
排: [排]気量 [排]泄物 [排]他的 ;; 300
霊: 背後[霊] [霊]安室 [霊]長類 ;; 201
万: [万]国旗 [万]年床 [万]年筆 ;; 300
偏: [偏]差値 [偏]西風 [偏]平足 ;; 300
暴: [暴]走族 [暴]風雨 [暴]力団 ;; 300
遊: 夢[遊]病 [遊]園地 [遊]覧船 ;; 210
影: 悪[影]響 [影]法師 [影]武者 [影]響力 ;; 310
明: [明]後日 不透[明] [明]細書 [明]太子 ;; 301
寝: 朝[寝]坊 雑魚[寝] [寝]心地 [寝]不足 ;; 211
花: 紫陽[花] [花]粉症 [花]言葉 落[花]生 ;; 211
羅: 阿修[羅] 一張[羅] 修[羅]場 天婦[羅] ;; 013
千: 値[千]金 [千]秋楽 [千]羽鶴 [千]代紙 ;; 310
弟: 兄[弟]分 内[弟]子 従兄[弟] 愛[弟]子 ;; 031
